"family","name_pt"
"Struthionidae",
"Rheidae",
"Casuariidae",
"Dromaiidae",
"Apterygidae",
"Tinamidae",
"Anhimidae",
"Anatidae","Gansos. Patos e afins"
"Megapodiidae",
"Cracidae",
"Numididae",
"Odontophoridae",
"Phasianidae","Perdizes, Codornizes e afins"
"Gaviidae","Mobelhas"
"Podicipedidae","Mergulhões"
"Phoenicopteridae","Flamingoes"
"Spheniscidae","Pinguins"
"Diomedeidae","Albatrozes"
"Procellariidae","Pombaletes e Pardelas"
"Hydrobatidae","Painhos"
"Pelecanoididae",
"Phaethontidae","Rabijuncos"
"Ciconiidae","Cegonhas"
"Fregatidae","Frigatebirds"
"Sulidae","Alcatrazes"
"Phalacrocoracidae","Corvos-marinhos"
"Anhingidae",
"Pelecanidae","Pelicanos"
"Balaenicipitidae",
"Scopidae",
"Ardeidae","Garças"
"Threskiornithidae","Íbises e Colheiros"
"Cathartidae",
"Sagittariidae",
"Pandionidae","Águias, Abutres e afins"
"Accipitridae","Águias, Abutres e afins"
"Otididae","Abetardas"
"Mesitornithidae",
"Rhynochetidae",
"Eurypygidae",
"Rallidae","Toirões"
"Sarothruridae",
"Heliornithidae",
"Aramidae",
"Psophiidae",
"Gruidae","Grous"
"Chionidae",
"Pluvianellidae",
"Burhinidae","Alcaravões"
"Pluvianidae",
"Recurvirostridae","Alfaiates e Pernilongos"
"Ibidorhynchidae",
"Haematopodidae","Ostraceiros"
"Charadriidae","Borrelhos, Tarambolas e Abibes"
"Pedionomidae",
"Thinocoridae",
"Rostratulidae",
"Jacanidae",
"Scolopacidae","Pilritos, Maçaricos e afins"
"Turnicidae","Toirões"
"Dromadidae",
"Glareolidae","Perdizes-do-mar e Corredeiras"
"Stercorariidae","Moleiros"
"Alcidae","Airos, Tordas e afins"
"Laridae","Gaivotas"
"Pteroclidae",
"Columbidae","Pombos e Rolas"
"Musophagidae",
"Opisthocomidae",
"Cuculidae","Cucos"
"Tytonidae","Corujas-das-torres"
"Strigidae","Mochos, Corujas e Bufos"
"Aegothelidae",
"Podargidae",
"Caprimulgidae","Noitibós e afins"
"Nyctibiidae",
"Steatornithidae",
"Apodidae","Andorinhões"
"Hemiprocnidae",
"Trochilidae",
"Coliidae",
"Trogonidae",
"Todidae",
"Momotidae",
"Alcedinidae","Guard-rios"
"Meropidae","Abelharucos"
"Coraciidae","Roleiros"
"Brachypteraciidae",
"Leptosomidae",
"Upupidae","Poupas"
"Phoeniculidae",
"Bucerotidae",
"Bucorvidae",
"Bucconidae",
"Galbulidae",
"Lybiidae",
"Megalaimidae",
"Capitonidae",
"Semnornithidae",
"Ramphastidae",
"Indicatoridae",
"Picidae","Pica-paus"
"Cariamidae",
"Falconidae","Falcões e Carcarás"
"Strigopidae",
"Cacatuidae","Cacatuas"
"Psittacidae","Papagaios"
"Passeriform","Passeriforme"
"Queleaittidae",
"Acanthisittidae",
"Calyptomenidae",
"Eurylaimidae",
"Sapayoidae",
"Philepittidae",
"Pittidae",
"Thamnophilidae",
"Melanopareiidae",
"Conopophagidae",
"Grallariidae",
"Rhinocryptidae",
"Formicariidae",
"Furnariidae",
"Tyrannidae",
"Oxyruncidae",
"Cotingidae",
"Pipridae",
"Tityridae",
"Menuridae",
"Atrichornithidae",
"Ptilonorhynchidae",
"Climacteridae",
"Maluridae",
"Meliphagidae",
"Dasyornithidae",
"Pardalotidae",
"Acanthizidae",
"Pomatostomidae",
"Orthonychidae",
"Cnemophilidae",
"Melanocharitidae",
"Paramythiidae",
"Callaeidae",
"Notiomystidae",
"Psophodidae",
"Cinclosomatidae",
"Platysteiridae",
"Vangidae",
"Malaconotidae",
"Machaerirhynchidae",
"Artamidae",
"Cracticidae",
"Pityriaseidae",
"Aegithinidae",
"Campephagidae",
"Neosittidae",
"Pachycephalidae",
"Laniidae","Picanços"
"Vireonidae","Vireos"
"Oriolidae","Papa-figos"
"Dicruridae",
"Rhipiduridae",
"Monarchidae",
"Corvidae","Corvos"
"Corcoracidae",
"Paradisaeidae",
"Petroicidae",
"Picathartidae",
"Chaetopidae",
"Eupetidae",
"Panuridae",
"Nicatoridae",
"Alaudidae","Cotovias"
"Hirundinidae","Andorinhas"
"Stenostiridae",
"Paridae","Chapins"
"Remizidae","Chapins-de-mascarilha"
"Aegithalidae","Chapins-rabilongos"
"Sittidae","Trepadeiras-azuis"
"Tichodromidae","Trepa-fragas"
"Certhiidae","Trepadeiras"
"Troglodytidae","Carriças"
"Polioptilidae",
"Cinclidae","Melros-d'água"
"Pycnonotidae",
"Regulidae","Felosas, Toutinegras e afins"
"Pnoepygidae",
"Macrosphenidae",
"Cettiidae",
"Phylloscopidae","Felosas, Toutinegras e afins"
"Acrocephalidae","Felosas, Toutinegras e afins"
"Locustellidae",
"Donacobiidae",
"Bernieridae",
"Cisticolidae",
"Sylvidae","Felosas, Toutinegras e afins"
"Paradoxornithidae",
"Zosteropidae",
"Timaliidae",
"Pellorneidae",
"Leiothrichidae",
"Promeropidae",
"Irenidae",
"Hyliotidae",
"Muscicapidae",
"Turdidae",
"Mimidae",
"Sturnidae","Estorninhos"
"Buphagidae",
"Chloropseidae",
"Dicaeidae",
"Nectariniidae",
"Prunellidae","Ferreirinhas"
"Motacillidae","Alvéolas"
"Urocynchramidae",
"Bombycillidae","Tagarelas"
"Mohoidae",
"Ptilogonatidae",
"Dulidae",
"Hylocitreidae",
"Hypocoliidae",
"Peucedramidae",
"Calcariidae","Escrevedeiras"
"Parulidae","New World Warblers"
"Thraupidae",
"Emberizidae",
"Cardinalidae","Cardinals and Allies"
"Icteridae","Troupials and Allies"
"Fringillidae","Tentilhões, Pintassilgos e afins"
"Passeridae","Pardais"
"Ploceidae","Tecelões"
"Estrildidae","Bicos-de-lacre e afins"
"Viduidae","Indigobirds"
